seed,x_axle,Greedy Time,final_calculation_time,Total Running time,Route Cost,,,
11,60,40.91282415,0.00718379,40.92000794,11633.52114,,41.78507516,11472.06125
12,60,40.96284175,0.009083271,40.97192502,12009.66383,,,
13,60,41.62129998,0.007940769,41.62924075,11736.00663,,,
14,60,41.36440396,0.008515835,41.3729198,11426.04932,,,
15,60,41.34761977,0.007486343,41.35510612,11444.93472,,,
16,60,41.00982189,0.007008076,41.01682997,11891.73917,,,
17,60,40.94520116,0.007059097,40.95226026,10902.10766,,,
18,60,45.02438021,0.008286953,45.03266716,11727.38649,,,
19,60,43.69112682,0.007023096,43.69814992,10972.27918,,,
20,60,40.89468503,0.006959677,40.90164471,10976.92438,,,
